,Unnamed: 0,BETROFFENE_ANLAGE,Value,Latitude,Longitude
0,0,Heyden,Heyden,52.38279238,8.996004114
1,1,Eltmann,Eltmann,49.983999999999995,10.65137
2,2,Farge,Farge,53.20206653,8.516153926
3,3,Burghausen,Burghausen,48.1769,12.84045
4,4,Itzehoe,Itzehoe,53.966421999999994,9.449486
5,5,Audorf,Audorf,54.290672,9.722775
6,6,Schkopau,Schkopau,51.39845463,11.9504201
7,7,Leitzach 2 M22,Leitzach 2,47.873938,11.87099
8,8,Plattling GT,Plattling,49.794340000000005,10.1813
9,9,Heizkraftwerk Altbach/Deizisau GT C,Heizkraftwerk Altbach/Deizisau,48.717611,9.374917
10,10,Lippendorf VE,Lippendorf,51.182122,12.373287
11,11,Bexbach A,Bexbach,49.363481,7.237136
12,12,Staudinger 5,Staudinger,50.088553000000005,8.953399000000001
13,13,Irsching 5,Irsching,48.76702,11.580033
14,14,Erzhausen 4,Erzhausen,51.89912,9.92452
15,15,Braunschweig GT,Braunschweig,52.278611,10.514722
16,16,EE Niedersachsen,Niedersachsen,51.984761,9.822831
17,17,Leitzach 2 M21,Leitzach 2,47.873938,11.87099
18,18,Zolling 5,Zolling,48.45534,11.8019
19,19,Irsching 4,Irsching,48.76702,11.580033
20,20,Weiher C,Weiher,49.33413028,7.031355927999999
21,21,Heizkraftwerk Altbach/Deizisau GT A,Heizkraftwerk Altbach/Deizisau,48.717611,9.374917
22,22,WP Emsland,Emsland,52.481878,7.306658
23,23,Heizkraftwerk Altbach/Deizisau GT B,Heizkraftwerk Altbach/Deizisau,48.717611,9.374917
24,24,Heizkraftwerk Altbach/Deizisau GT E,Heizkraftwerk Altbach/Deizisau,48.717611,9.374917
25,25,Kraftwerk Walheim GT D,Kraftwerk Walheim,49.017472,9.157389
26,26,Erzhausen 1,Erzhausen,51.89912,9.92452
27,27,Erzhausen 2,Erzhausen,51.89912,9.92452
28,28,Heizkraftwerk Altbach/Deizisau Block 2,Heizkraftwerk Altbach/Deizisau,48.717611,9.374917
29,29,Leitzach 1 M11,Leitzach 1,47.873938,11.87099
30,30,Erzhausen 3,Erzhausen,51.89912,9.92452
31,31,UPM Schongau HKW3,UPM Schongau,47.803187,10.904254
32,32,Braunschweig DT,Braunschweig,52.278611,10.514722
33,33,Heizkraftwerk Heilbronn Block 7,Heizkraftwerk Heilbronn,49.177334,9.206318
34,34,Freimann GT12,Freimann GT 1,48.188278,11.594954
35,35,Freimann GT11,Freimann GT 1,48.188278,11.594954
36,36,SHN Cluster Itzehoe West,Itzehoe,53.966421999999994,9.449486
37,37,Kühtai 2 (Uniper),Kühtai,47.207784,11.005735
38,38,Pumpspeicherwerk Säckingen RZ TNG,Säckingen,47.565416,7.954035
39,39,SHN Cluster Kiel Süd,Kiel,54.33945,10.1766
40,40,Thyrow C (SysRel),Thyrow,52.23015,13.30195
41,41,Thyrow B (SysRel),Thyrow,52.23015,13.30195
42,42,München Nord 2,Nord 2,48.180506,11.639612
43,43,Thyrow D (SysRel),Thyrow,52.23015,13.30195
44,44,Mercedes_Sindelfingen_GT1,Sindelfingen,48.697222,8.999167
45,45,SHN Cluster Brunsbüttel,Brunsbüttel,53.89251924,9.201135635
46,46,HKW_ROEMER_KW,HKW,51.512175,13.97109
47,47,München Süd GT 61,Süd GT 61,48.1351253,11.5819806
48,48,Marbach GT 4 (bnBm),Marbach,48.927496999999995,9.230005
49,49,Goldisthal (Standort),Goldisthal,50.50975864,11.02087498
50,50,Reservekraftwerk Walheim Block 1,Walheim,49.017472,9.157389
51,51,Silz 1 (TIWAG),Silz,47.269606,10.967829
52,52,SWDU_HKW_3B,HKW,51.512175,13.97109
53,53,Emden 4 GT (KapRes),Emden,53.34217,7.206239999999999
54,54,Thyrow E (SysRel),Thyrow,52.23015,13.30195
55,55,EE Bayern,Bayern,47.79714,10.85874
56,56,INFRA_HOE_GTX1,GT,51.22116,6.73193
57,57,HKW-OF-EVO,HKW,51.512175,13.97109
